title,price,link
"Yasir Brothers Proudly Offers 01 Kanal Brand New, Solid Construction, Owner Built Modern House Is Available For Sale In Dha Phase 07 Lahore",7.75 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_7_yasir_brothers_proudly_offers_01_kanal_brand_new_solid_construction_owner_built_modern_house_is_available_for_sale_in_dha_phase_07_lahore-47775209-1450-1.html
5 Marla House For Sale in Olc A Block In Phase 2,1.6 Crore,https://www.zameen.com/Property/overseas_low_cost_olc_-_block_a_5_marla_house_for_sale_in_olc_a_block_in_phase_2-48123013-8195-1.html
5 Marla Beautifully Designed House For Sale At Park View City Lahore,1.45 Crore,https://www.zameen.com/Property/lahore_park_view_city_5_marla_beautifully_designed_house_for_sale_at_park_view_city_lahore-47418642-1466-1.html
3 Years Installment Plus Cash Based 5 Marla Spanish House In Park View City Lahore For Sale,1.45 Crore,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plus_cash_based_5_marla_spanish_house_in_park_view_city_lahore_for_sale-47344249-1466-1.html
One Kanal Brand New Beautiful Modern Design Bungalow Available For Sale In DHA Phase 6 Lahore.,8 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_one_kanal_brand_new_beautiful_modern_design_bungalow_available_for_sale_in_dha_phase_6_lahore-48098881-1448-1.html
10 Marla House Available For Sale In Rafi Block Sector E Bahria Town Lahore,3.4 Crore,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_rafi_block_10_marla_house_available_for_sale_in_rafi_block_sector_e_bahria_town_lahore-46762532-1803-1.html
5 Marla Brand New House For Sale In Green City C Block,2.45 Crore,https://www.zameen.com/Property/green_city_green_city_-_block_c_5_marla_brand_new_house_for_sale_in_green_city_c_block-48055564-3802-1.html
10 Marla House For Sale Brend New,2.5 Crore,https://www.zameen.com/Property/lahore_beacon_house_society_10_marla_house_for_sale_brend_new-48126592-3096-1.html
1 Kanal 4 Bedroom House Main Boulevard In Askari-10,9 Crore,https://www.zameen.com/Property/askari_askari_10_1_kanal_4_bedroom_house_main_boulevard_in_askari-10-47995078-1011-1.html
3 Years Installment Plus Cash Based 5 Marla Spanish House In Parkview City Lahore,1.4 Crore,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plus_cash_based_5_marla_spanish_house_in_parkview_city_lahore-47552958-1466-1.html
